Short name,,4G_ECGI,RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],PS handover success rate [LTE Intra System] [CDBH],PS handover success rate [LTE Inter System] [CDBH],CSFB Redirection Success Rate [CDBH],E-UTRAN Average CQI [CDBH],MV_Average number of used DL PRBs [CDBH],VoLTE ERAB Setup Success Rate [CBBH],VoLTE Drop Call Rate [CBBH]],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],VoLTE Intra-LTE Handover Success Ratio [CBBH],VoLTE Inter-Frequency Handover Success Ratio [CBBH],UL RSSI [CBBH],MV_4G Data Volume_GB,VoLTE Traffic,Radio NW Availability
,24-Apr-23,404-02-402154-22,99.9,99.63,0.22,14643.86,1185.38,99.73,92.26,100,9.69,33.5,99.58,0.34,0.11,0.06,,99.73,99.08,-100.63,47.49,50.98,100
,25-Apr-23,404-02-402154-22,99.84,99.8,0.32,11646.08,846.98,99.71,96.48,100,9.02,41.12,100,0.46,0.12,0.09,,99.08,93.98,-100.74,48.51,48.55,100
,26-Apr-23,404-02-402154-22,99.84,99.82,0.42,13745.79,820.7,98.43,94.12,100,9.73,33.9,100,0,0.08,0.08,,100,100,-101.01,45.36,47.56,100
,27-Apr-23,404-02-402154-22,99.9,99.96,0.37,12219.61,1294.88,97.95,97.54,100,9.03,35.27,100,0,0.12,0.1,,98.13,100,-100.91,46.31,41.94,100
PB_E_F3_OM_GDH341C_C,23-Apr-23,404-02-402154-23,99.78,99.94,0.19,10277.38,755.94,99.86,99.09,100,9.69,47.1,100,0.62,0.04,0.09,,99.36,98.28,-101.5,67.29,117.46,100
,24-Apr-23,404-02-402154-23,99.83,99.87,0.14,2527.55,383.08,99.69,99.29,100,8.43,89.3,100,0.36,0.05,0.08,,99.82,99.69,-103.34,88.76,117.69,100
,25-Apr-23,404-02-402154-23,99.92,99.94,0.14,2171.93,364.97,99.81,99.4,100,8.47,94.1,100,0,0.28,0.45,,99.89,99.83,-104.42,98.55,112.34,100
,26-Apr-23,404-02-402154-23,99.96,99.91,0.08,2193.85,375.45,99.92,99.32,100,8.46,94.85,99.59,0,0.13,0.11,,98.94,97.04,-104.83,108.05,114.5,100
,27-Apr-23,404-02-402154-23,99.87,99.92,0.09,2403.7,433.42,99.78,99.36,100,8.51,90.4,100,0.35,0.04,0.06,,99.87,99.68,-104.56,103.4,111.81,100
PB_E_F3_OM_GDH341C_N,23-Apr-23,404-02-402154-27,99.91,99.91,0.09,9796.65,577.6,99.72,97.64,100,10.49,68.03,100,0.86,0.06,0.1,,99.31,99,-104.3,145.09,271.36,100
,24-Apr-23,404-02-402154-27,99.95,99.81,0.16,1882.39,460.26,99.8,99.34,100,9.08,97.3,99.82,0.53,0.03,0.08,,99.57,99.15,-104.12,146.88,296.75,100
,25-Apr-23,404-02-402154-27,99.89,99.92,0.15,1933.85,430.14,99.57,98.6,100,9.01,94.85,100,0.15,0.03,0.09,,99.7,99.4,-104.6,145.33,269.86,100
,26-Apr-23,404-02-402154-27,99.91,99.94,0.17,2282.44,406.15,99.71,98.88,97.3,9.47,96.75,99.91,0.12,0.03,0.11,,99.23,98.43,-104.29,154.14,281.15,100
,27-Apr-23,404-02-402154-27,99.94,99.91,0.1,3239.69,422.64,99.8,99.03,100,9.38,93.25,100,0.31,0.03,0.07,,99.7,99.54,-104.53,152.07,245.66,100
PB_E_F8_OM_GDH341A_A,23-Apr-23,404-02-905341-31,,,,4804.67,1843.82,,,,,39.72,,0,0.13,0.49,,,,,16.71,,
,24-Apr-23,404-02-905341-31,,,,1284.24,2018.05,,,,,80.51,,0,0.07,0.59,,,,,25.17,,
,25-Apr-23,404-02-905341-31,,,,3651.52,1819.26,,,,,60.29,,0,0.06,0.39,,,,,18.26,,
,26-Apr-23,404-02-905341-31,,,,3015.17,1608.01,,,,,49.49,,0,0.1,0.51,,,,,18.33,,
,27-Apr-23,404-02-905341-31,,,,1252.25,1794.56,,,,,93.87,,0.27,0.06,0.92,,,,,32.2,,
PB_E_F8_OM_GDH341B_B,23-Apr-23,404-02-905341-32,,,,7962.16,3113.17,,,,,27.22,,10.34,1.27,3.35,,,,,12.51,,
,24-Apr-23,404-02-905341-32,,,,8716.22,2048.45,,,,,21.06,,10.34,0.67,1.92,,,,,9.41,,
,25-Apr-23,404-02-905341-32,,,,3208.45,2402.93,,,,,43.26,,2.94,1.71,4.78,,,,,10.72,,
,26-Apr-23,404-02-905341-32,,,,8162.69,3921,,,,,21.97,,2.86,0.72,5.1,,,,,10.2,,
,27-Apr-23,404-02-905341-32,,,,4909.9,4102.69,,,,,33.57,,5.41,1.33,6.5,,,,,10.68,,
PB_E_F8_OM_GDH341C_C,23-Apr-23,404-02-905341-33,,,,4352.11,1618.86,,,,,84.07,,1.85,0.25,4.52,,,,,111.62,,
,24-Apr-23,404-02-905341-33,,,,4709.69,1803.35,,,,,80.45,,0,0.25,3.95,,,,,105.75,,
,25-Apr-23,404-02-905341-33,,,,2298.97,1582.5,,,,,92.15,,0,0.26,5.02,,,,,109.38,,
,26-Apr-23,404-02-905341-33,,,,4555.34,1607.3,,,,,82.6,,0,0.07,2.66,,,,,119.96,,
,27-Apr-23,404-02-905341-33,,,,3560.08,1836.19,,,,,69.17,,0.47,0.1,1.84,,,,,120.62,,
PB_E_T1_HS_SCHD344A_A,23-Apr-23,404-02-701344-41,99.92,99.96,,2744.39,279.15,98.67,100,100,7.84,87.75,100,0,0.01,0.01,,98.41,100,-100.35,80.57,28.75,100
,24-Apr-23,404-02-701344-41,99.92,99.75,,2869.99,525.8,97.4,100,90,7.93,84.3,100,0,0.05,0.02,,100,100,-99.48,55.35,23.57,100
,25-Apr-23,404-02-701344-41,99.92,99.79,,2481.15,227.69,97.5,100,100,7.86,85.58,100,0,0.03,0.01,,97.89,100,-100.63,60,23.67,100
,26-Apr-23,404-02-701344-41,99.89,99.98,,2945.91,229.23,99.17,100,100,7.94,81.67,100,0,0.03,0.01,,100,100,-99.84,58.21,29.01,100
,27-Apr-23,404-02-701344-41,100,99.92,,3425.74,348.34,97.1,100,100,8.34,82.28,100,0,0.08,0.01,,100,100,-100.01,60.06,24.42,96.9
PB_E_T1_HS_SCHD344B_B,23-Apr-23,404-02-701344-42,99.89,96.14,,3351.33,310.47,98.11,97.65,100,7.07,71.08,98.59,1.75,0.04,0.02,,98.11,94.74,-101.89,44.37,17.77,100
,24-Apr-23,404-02-701344-42,99.94,98.92,,2802.76,160.26,97.56,100,100,6.54,80.17,100,0,0.13,0.07,,99.33,100,-102.68,39.76,16.2,100
,25-Apr-23,404-02-701344-42,99.71,99.39,,3824.59,209.73,98.55,95.12,100,6.81,74.38,100,0,0.07,0.06,,100,100,-101.49,45.38,16.91,100
,26-Apr-23,404-02-701344-42,99.8,99.67,,2958.56,218.89,97.09,96.97,100,6.41,71.53,100,0,0.1,0.05,,98.57,100,-101.96,37.33,16.63,100
,27-Apr-23,404-02-701344-42,99.94,99.41,,3381.55,312.3,97.62,98.96,100,6.89,67.97,100,0,0.16,0.2,,100,100,-101.49,39.4,16.18,96.9
PB_E_T1_HS_SCHD377A_A,23-Apr-23,404-02-701377-41,99.92,99.7,,1762.79,326.82,,99.03,100,9.97,96.55,100,0,0.04,0.01,,100,100,-101.7,156.33,40.82,100
,24-Apr-23,404-02-701377-41,99.86,99.94,,1531.24,347.28,,99.43,100,9.96,99.08,100,0,0.06,0.05,,98.36,100,-100.79,135.99,44.76,98.98
,25-Apr-23,404-02-701377-41,100,99.86,,1661.44,392.29,,98.94,100,10.06,98.75,100,0.71,0.05,0.01,,98.11,100,-100.59,135.81,44.54,100
,26-Apr-23,404-02-701377-41,99.98,99.52,,1860.8,396.53,,99.7,100,9.91,98.78,100,1.22,0.04,0.01,,98.08,97.3,-100.72,122.19,38.21,94.79
,27-Apr-23,404-02-701377-41,99.96,99.95,,2227.76,303.1,,99.51,100,10.05,95.3,100,0,0.1,0.01,,100,100,-100.49,128.21,34.8,96.88
PB_E_T1_HS_SLUD750A_A,23-Apr-23,404-02-701750-41,99.77,99.72,0.17,4511.26,194.53,100,99.77,100,8.68,78.4,99.78,0,0.07,2.05,,100,100,-105.95,92.15,77.01,100
,24-Apr-23,404-02-701750-41,99.83,99.71,0.06,8132.22,234.83,100,95.92,100,9.24,64.47,100,0,0.04,0.25,,98.55,99.08,-103.66,82.59,74.16,100
,25-Apr-23,404-02-701750-41,99.78,99.85,0.2,4509.65,206.11,100,99.27,100,8.57,82.72,100,0,0.04,0.4,,98.58,100,-104.07,89.41,75.38,100
,26-Apr-23,404-02-701750-41,99.86,99.53,0.38,4447.24,195.21,100,99.33,100,8.73,75.47,100,0,0.04,0.24,,100,100,-105.58,84.09,72.8,100
,27-Apr-23,404-02-701750-41,99.66,99.78,0.16,7270.14,252.7,99.26,99.45,100,8.9,67.9,100,0,0.03,0.17,,99.13,100,-101.29,75.94,56.14,99.89
PB_E_T1_HS_SLUD750B_B,23-Apr-23,404-02-701750-42,100,99.94,0.12,10611.15,176.24,100,99.67,100,8.79,51.3,100,0,0.03,0.03,,100,100,-106.05,48.72,28.57,100
,24-Apr-23,404-02-701750-42,99.96,99.71,0.09,11236.07,418.58,100,99.74,100,9.23,37.08,100,0.67,0.01,0.07,,100,100,-104.04,40.88,35.85,100
,25-Apr-23,404-02-701750-42,100,99.98,0.02,7428.7,386.47,100,99.28,100,8.8,50.35,100,0,0.04,0.24,,98.33,98.95,-105.95,48.48,29.53,100
