Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH]
,27-Mar-23,99.7,99.6,0.17,4770.16,258.91,96.78,0,6.94,-112.2,0,82.07,99.58,99.02,98,0.22,0.09,46.0046,104.7,74.03,,
,28-Mar-23,99.52,99.5,0.2,2927.85,493.08,96.73,0,6.75,-111.48,0,80.74,100,99.36,96,0.45,0.34,53.5434,99.84,82.43,,
CH_E_F1_OM_MOGW31B_B,24-Mar-23,99.89,99.94,0.06,9624.15,844.89,100,0,8.9,-113.78,0,100,100,100,100,0.01,0.1,35.509,53.26,48.47,,
,25-Mar-23,99.86,99.69,0.21,12399.08,560.48,99.62,0,9.27,-113.99,0,100,100,100,100,0.07,0.07,50.4903,51.63,47.33,,
,26-Mar-23,99.89,99.94,0.04,17226.99,7257.22,98.25,,9.09,-114.46,0,100,100,100,100,0.01,0.03,72.0155,56.29,51.13,,
,27-Mar-23,100,99.58,0,24074.2,825.44,100,0,11.74,-113.82,0,83.33,100,100,100,0.04,0.05,55.9087,54.92,36.18,,
,28-Mar-23,99.8,99.93,0,8680.36,545.87,100,0,8.65,-113.54,0,100,100,100,100,0.02,0.04,52.3735,47.47,63.7,,
CH_E_F1_OM_MOGW31C_C,24-Mar-23,99.85,99.68,0.18,1918.39,408.42,98.94,0,8.38,-112.9,0,84.82,100,99.57,100,0.06,0.08,103.0734,113.23,94.19,,
,25-Mar-23,99.82,99.82,0.03,4628.3,365.54,99.36,0,8.71,-112.47,0,92.01,100,99.44,100,0.04,0.1,97.9173,129.8,80.04,,
,26-Mar-23,99.64,99.84,0.09,4558.89,277.2,99.24,0,8.76,-112.85,0,91.54,100,100,100,0.02,0.05,91.3919,90.96,78.07,,
